DATE_TIME,AC_POWER,IRRADIATION,AMBIENT_TEMPERATURE,MODULE_TEMPERATURE,hour,day,month,is_daytime
2020-06-14 11:15:00,966.9714286,0.6502135673333332,26.948706133333328,43.94926386666666,11,14,6,1
2020-06-14 11:15:00,923.3,0.6502135673333332,26.948706133333328,43.94926386666666,11,14,6,1
2020-06-14 11:15:00,917.375,0.6502135673333332,26.948706133333328,43.94926386666666,11,14,6,1
2020-06-14 11:15:00,961.9125,0.6502135673333332,26.948706133333328,43.94926386666666,11,14,6,1
2020-06-14 11:15:00,968.2,0.6502135673333332,26.948706133333328,43.94926386666666,11,14,6,1
2020-06-14 11:15:00,927.2714286,0.6502135673333332,26.948706133333328,43.94926386666666,11,14,6,1
2020-06-14 11:15:00,938.325,0.6502135673333332,26.948706133333328,43.94926386666666,11,14,6,1
2020-06-14 11:15:00,930.1571429,0.6502135673333332,26.948706133333328,43.94926386666666,11,14,6,1
2020-06-14 11:15:00,980.8142857,0.6502135673333332,26.948706133333328,43.94926386666666,11,14,6,1
2020-06-14 11:15:00,0.0,0.6502135673333332,26.948706133333328,43.94926386666666,11,14,6,1
2020-06-14 11:15:00,938.5,0.6502135673333332,26.948706133333328,43.94926386666666,11,14,6,1
2020-06-14 11:15:00,892.975,0.6502135673333332,26.948706133333328,43.94926386666666,11,14,6,1
2020-06-14 11:15:00,902.3285714,0.6502135673333332,26.948706133333328,43.94926386666666,11,14,6,1
2020-06-14 11:15:00,919.0,0.6502135673333332,26.948706133333328,43.94926386666666,11,14,6,1
2020-06-14 11:15:00,904.75,0.6502135673333332,26.948706133333328,43.94926386666666,11,14,6,1
2020-06-14 11:15:00,908.6,0.6502135673333332,26.948706133333328,43.94926386666666,11,14,6,1
2020-06-14 11:15:00,915.775,0.6502135673333332,26.948706133333328,43.94926386666666,11,14,6,1
2020-06-14 11:15:00,895.1,0.6502135673333332,26.948706133333328,43.94926386666666,11,14,6,1
2020-06-14 11:15:00,932.8714286,0.6502135673333332,26.948706133333328,43.94926386666666,11,14,6,1
2020-06-14 11:15:00,921.8428571,0.6502135673333332,26.948706133333328,43.94926386666666,11,14,6,1
2020-06-14 11:30:00,0.0,0.6621523706666665,26.8470704,46.03145753333334,11,14,6,1
2020-06-14 11:30:00,938.0,0.6621523706666665,26.8470704,46.03145753333334,11,14,6,1
2020-06-14 11:30:00,967.175,0.6621523706666665,26.8470704,46.03145753333334,11,14,6,1
2020-06-14 11:30:00,941.7428571,0.6621523706666665,26.8470704,46.03145753333334,11,14,6,1
2020-06-14 11:30:00,965.8857143,0.6621523706666665,26.8470704,46.03145753333334,11,14,6,1
2020-06-14 11:30:00,966.8571429,0.6621523706666665,26.8470704,46.03145753333334,11,14,6,1
2020-06-14 11:30:00,945.225,0.6621523706666665,26.8470704,46.03145753333334,11,14,6,1
2020-06-14 11:30:00,923.8375,0.6621523706666665,26.8470704,46.03145753333334,11,14,6,1
2020-06-14 11:30:00,970.0714286,0.6621523706666665,26.8470704,46.03145753333334,11,14,6,1
2020-06-14 11:30:00,919.325,0.6621523706666665,26.8470704,46.03145753333334,11,14,6,1
2020-06-14 11:30:00,954.025,0.6621523706666665,26.8470704,46.03145753333334,11,14,6,1
2020-06-14 11:30:00,0.0,0.6621523706666665,26.8470704,46.03145753333334,11,14,6,1
2020-06-14 11:30:00,968.8857143,0.6621523706666665,26.8470704,46.03145753333334,11,14,6,1
2020-06-14 11:30:00,937.5571429,0.6621523706666665,26.8470704,46.03145753333334,11,14,6,1
2020-06-14 11:30:00,934.175,0.6621523706666665,26.8470704,46.03145753333334,11,14,6,1
2020-06-14 11:30:00,908.3375,0.6621523706666665,26.8470704,46.03145753333334,11,14,6,1
2020-06-14 11:30:00,942.3,0.6621523706666665,26.8470704,46.03145753333334,11,14,6,1
2020-06-14 11:30:00,937.675,0.6621523706666665,26.8470704,46.03145753333334,11,14,6,1
2020-06-14 11:30:00,958.1,0.6621523706666665,26.8470704,46.03145753333334,11,14,6,1
2020-06-14 11:30:00,945.0857143,0.6621523706666665,26.8470704,46.03145753333334,11,14,6,1
2020-06-14 11:30:00,945.6571429,0.6621523706666665,26.8470704,46.03145753333334,11,14,6,1
2020-06-14 11:30:00,924.6625,0.6621523706666665,26.8470704,46.03145753333334,11,14,6,1
2020-06-14 11:45:00,0.0,0.4262345726666666,25.92304106666667,38.486489133333336,11,14,6,1
2020-06-14 11:45:00,620.5571429,0.4262345726666666,25.92304106666667,38.486489133333336,11,14,6,1
2020-06-14 11:45:00,604.5857143,0.4262345726666666,25.92304106666667,38.486489133333336,11,14,6,1
2020-06-14 11:45:00,603.35,0.4262345726666666,25.92304106666667,38.486489133333336,11,14,6,1
2020-06-14 11:45:00,642.0375,0.4262345726666666,25.92304106666667,38.486489133333336,11,14,6,1
2020-06-14 11:45:00,605.575,0.4262345726666666,25.92304106666667,38.486489133333336,11,14,6,1
